INFO 2025-05-14 01:51:49,030 autoreload C:\Users\krist\OneDrive\Рабочий стол\College\4 курс\Курсовая работа ТРПО\EduShelf\EduShelf\edushelf\edushelf\settings.py changed, reloading.
INFO 2025-05-14 01:51:49,806 autoreload C:\Users\krist\OneDrive\Рабочий стол\College\4 курс\Курсовая работа ТРПО\EduShelf\EduShelf\edushelf\edushelf\settings.py changed, reloading.
INFO 2025-05-14 02:54:59,572 autoreload Watching for file changes with StatReloader
INFO 2025-05-14 02:55:16,277 basehttp "GET /admin/bookLibrary/user/17/change/ HTTP/1.1" 200 37464
WARNING 2025-05-14 02:55:16,332 log Not Found: /static/admin/css/base.css
WARNING 2025-05-14 02:55:16,334 log Not Found: /static/admin/css/dark_mode.css
WARNING 2025-05-14 02:55:16,334 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-05-14 02:55:16,336 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-05-14 02:55:16,337 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-05-14 02:55:16,339 log Not Found: /static/admin/css/forms.css
WARNING 2025-05-14 02:55:16,342 log Not Found: /static/admin/js/theme.js
WARNING 2025-05-14 02:55:16,342 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-05-14 02:55:16,343 log Not Found: /static/admin/js/calendar.js
WARNING 2025-05-14 02:55:16,346 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 404 179
WARNING 2025-05-14 02:55:16,346 log Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-05-14 02:55:16,348 log Not Found: /static/admin/js/jquery.init.js
WARNING 2025-05-14 02:55:16,349 log Not Found: /static/admin/css/responsive.css
WARNING 2025-05-14 02:55:16,350 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 404 179
WARNING 2025-05-14 02:55:16,352 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
INFO 2025-05-14 02:55:16,352 basehttp - Broken pipe from ('127.0.0.1', 57268)
WARNING 2025-05-14 02:55:16,357 log Not Found: /static/admin/js/admin/DateTimeShortcuts.js
WARNING 2025-05-14 02:55:16,357 basehttp "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 404 179
WARNING 2025-05-14 02:55:16,360 log Not Found: /static/admin/js/core.js
WARNING 2025-05-14 02:55:16,361 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-05-14 02:55:16,361 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 179
INFO 2025-05-14 02:55:16,366 basehttp - Broken pipe from ('127.0.0.1', 57269)
WARNING 2025-05-14 02:55:16,367 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 404 179
WARNING 2025-05-14 02:55:16,370 log Not Found: /static/admin/js/admin/RelatedObjectLookups.js
